DriverName,LapNum,Timestamp,LapTime,LapTimeMins,S1,S2,S3,S1Mins,S2Mins,S3Mins
GasCan13,128,1682792779,38814,00:38.814,5374,25898,7542,00:05.374,00:25.898,00:07.542
Yuval Rosen,353,1682777964,38946,00:38.946,5340,26090,7516,00:05.340,00:26.090,00:07.516
GasCan13,114,1682792209,38966,00:38.966,5356,26059,7551,00:05.356,00:26.059,00:07.551
Yuval Rosen,440,1682800353,38985,00:38.985,5320,26100,7565,00:05.320,00:26.100,00:07.565
Yuval Rosen,449,1682800784,38986,00:38.986,5358,26090,7538,00:05.358,00:26.090,00:07.538
Yuval Rosen,380,1682797498,38994,00:38.994,5334,26090,7570,00:05.334,00:26.090,00:07.570
Yuval Rosen,369,1682796973,38998,00:38.998,5352,26099,7547,00:05.352,00:26.099,00:07.547
Yuval Rosen,375,1682797247,39001,00:39.001,5364,26090,7547,00:05.364,00:26.090,00:07.547
Yuval Rosen,446,1682800665,39002,00:39.002,5419,25979,7604,00:05.419,00:25.979,00:07.604
GasCan13,90,1682790651,39003,00:39.003,5351,26042,7610,00:05.351,00:26.042,00:07.610
Yuval Rosen,333,1682777111,39003,00:39.003,5352,26041,7610,00:05.352,00:26.041,00:07.610
Yuval Rosen,421,1682799554,39020,00:39.020,5338,26005,7677,00:05.338,00:26.005,00:07.677
yarimalk23,326,1682781923,39029,00:39.029,5450,26037,7542,00:05.450,00:26.037,00:07.542
Yuval Rosen,423,1682799654,39049,00:39.049,5330,26155,7564,00:05.330,00:26.155,00:07.564
Yuval Rosen,301,1682775529,39052,00:39.052,5351,26056,7645,00:05.351,00:26.056,00:07.645
Yuval Rosen,336,1682777266,39053,00:39.053,5348,26123,7582,00:05.348,00:26.123,00:07.582
Yuval Rosen,402,1682798412,39056,00:39.056,5338,26181,7537,00:05.338,00:26.181,00:07.537
Yuval Rosen,437,1682800235,39071,00:39.071,5362,26118,7591,00:05.362,00:26.118,00:07.591
chachacha,79,1682770942,39083,00:39.083,5307,26190,7586,00:05.307,00:26.190,00:07.586
Yuval Rosen,420,1682799515,39085,00:39.085,5357,26190,7538,00:05.357,00:26.190,00:07.538
Yuval Rosen,329,1682776953,39089,00:39.089,5402,26127,7560,00:05.402,00:26.127,00:07.560
Yuval Rosen,271,1682774222,39090,00:39.090,5398,26105,7587,00:05.398,00:26.105,00:07.587
Yuval Rosen,279,1682774616,39092,00:39.092,5360,26173,7559,00:05.360,00:26.173,00:07.559
chachacha,76,1682770818,39103,00:39.103,5376,26127,7600,00:05.376,00:26.127,00:07.600
Yuval Rosen,477,1682801966,39104,00:39.104,5372,26177,7555,00:05.372,00:26.177,00:07.555
Yuval Rosen,458,1682801145,39105,00:39.105,5332,26154,7619,00:05.332,00:26.154,00:07.619
GasCan13,88,1682790569,39107,00:39.107,5393,26159,7555,00:05.393,00:26.159,00:07.555
Yuval Rosen,407,1682798615,39113,00:39.113,5368,26186,7559,00:05.368,00:26.186,00:07.559
GasCan13,130,1682792859,39114,00:39.114,5381,26123,7610,00:05.381,00:26.123,00:07.610
GasCan13,95,1682790857,39125,00:39.125,5357,26218,7550,00:05.357,00:26.218,00:07.550
Yuval Rosen,431,1682799972,39125,00:39.125,5357,26132,7636,00:05.357,00:26.132,00:07.636
yarimalk23,309,1682781191,39129,00:39.129,5396,26172,7561,00:05.396,00:26.172,00:07.561
Yuval Rosen,306,1682775866,39130,00:39.130,5331,26100,7699,00:05.331,00:26.100,00:07.699
chachacha,74,1682770737,39135,00:39.135,5358,26194,7583,00:05.358,00:26.194,00:07.583
GasCan13,102,1682791186,39142,00:39.142,5360,26164,7618,00:05.360,00:26.164,00:07.618
Yuval Rosen,467,1682801563,39145,00:39.145,5359,26190,7596,00:05.359,00:26.190,00:07.596
Yuval Rosen,213,1682727450,39147,00:39.147,5396,26190,7561,00:05.396,00:26.190,00:07.561
Yuval Rosen,224,1682728158,39148,00:39.148,5366,26155,7627,00:05.366,00:26.155,00:07.627
Yuval Rosen,386,1682797740,39159,00:39.159,5377,26131,7651,00:05.377,00:26.131,00:07.651
Yuval Rosen,439,1682800314,39160,00:39.160,5334,26253,7573,00:05.334,00:26.253,00:07.573
GasCan13,96,1682790896,39162,00:39.162,5407,26122,7633,00:05.407,00:26.122,00:07.633
GasCan13,110,1682792051,39162,00:39.162,5416,26168,7578,00:05.416,00:26.168,00:07.578
GasCan13,60,1682789137,39163,00:39.163,5354,26276,7533,00:05.354,00:26.276,00:07.533
GasCan13,111,1682792091,39163,00:39.163,5372,26204,7587,00:05.372,00:26.204,00:07.587
chachacha,53,1682769530,39168,00:39.168,5328,26244,7596,00:05.328,00:26.244,00:07.596
yarimalk23,257,1682726661,39170,00:39.170,5443,26159,7568,00:05.443,00:26.159,00:07.568
Yuval Rosen,209,1682727209,39172,00:39.172,5314,26194,7664,00:05.314,00:26.194,00:07.664
Yuval Rosen,356,1682796381,39176,00:39.176,5417,26145,7614,00:05.417,00:26.145,00:07.614
GasCan13,99,1682791020,39177,00:39.177,5382,26185,7610,00:05.382,00:26.185,00:07.610
yarimalk23,325,1682781884,39187,00:39.187,5378,26209,7600,00:05.378,00:26.209,00:07.600
Yuval Rosen,368,1682796934,39193,00:39.193,5362,26266,7565,00:05.362,00:26.266,00:07.565
chachacha,51,1682769447,39201,00:39.201,5360,26244,7597,00:05.360,00:26.244,00:07.597
yarimalk23,341,1682801934,39202,00:39.202,5425,26221,7556,00:05.425,00:26.221,00:07.556
Yuval Rosen,373,1682797159,39206,00:39.206,5330,26280,7596,00:05.330,00:26.280,00:07.596
yarimalk23,215,1682724088,39208,00:39.208,5462,26127,7619,00:05.462,00:26.127,00:07.619
yarimalk23,288,1682780297,39208,00:39.208,5418,26208,7582,00:05.418,00:26.208,00:07.582
chachacha,61,1682769914,39209,00:39.209,5342,26235,7632,00:05.342,00:26.235,00:07.632
yarimalk23,242,1682726018,39213,00:39.213,5372,26276,7565,00:05.372,00:26.276,00:07.565
yarimalk23,238,1682725844,39214,00:39.214,5374,26303,7537,00:05.374,00:26.303,00:07.537
Y.Cohen,357,1682783144,39215,00:39.215,5371,26266,7578,00:05.371,00:26.266,00:07.578
Yuval Rosen,284,1682774823,39215,00:39.215,5357,26186,7672,00:05.357,00:26.186,00:07.672
Yuval Rosen,455,1682801026,39217,00:39.217,5346,26248,7623,00:05.346,00:26.248,00:07.623
Yuval Rosen,124,1682611908,39225,00:39.225,5380,26213,7632,00:05.380,00:26.213,00:07.632
yarimalk23,344,1682802057,39226,00:39.226,5435,26263,7528,00:05.435,00:26.263,00:07.528
Yuval Rosen,391,1682797943,39227,00:39.227,5333,26289,7605,00:05.333,00:26.289,00:07.605
Yuval Rosen,261,1682773819,39229,00:39.229,5389,26203,7637,00:05.389,00:26.203,00:07.637
GasCan13,94,1682790818,39230,00:39.230,5382,26252,7596,00:05.382,00:26.252,00:07.596
GasCan13,127,1682792740,39232,00:39.232,5361,26306,7565,00:05.361,00:26.306,00:07.565
yarimalk23,295,1682780604,39233,00:39.233,5402,26226,7605,00:05.402,00:26.226,00:07.605
GasCan13,86,1682790490,39235,00:39.235,5364,26208,7663,00:05.364,00:26.208,00:07.663
GasCan13,121,1682792497,39235,00:39.235,5368,26320,7547,00:05.368,00:26.320,00:07.547
chachacha,92,1682771804,39242,00:39.242,5376,26302,7564,00:05.376,00:26.302,00:07.564
Yuval Rosen,332,1682777072,39247,00:39.247,5394,26262,7591,00:05.394,00:26.262,00:07.591
Yuval Rosen,277,1682774535,39249,00:39.249,5345,26321,7583,00:05.345,00:26.321,00:07.583
chachacha,50,1682769407,39250,00:39.250,5342,26344,7564,00:05.342,00:26.344,00:07.564
GasCan13,106,1682791883,39253,00:39.253,5400,26167,7686,00:05.400,00:26.167,00:07.686
Yuval Rosen,216,1682727614,39254,00:39.254,5333,26276,7645,00:05.333,00:26.276,00:07.645
yarimalk23,207,1682723528,39260,00:39.260,5510,26164,7586,00:05.510,00:26.164,00:07.586
