DriverName,FastestLap,TheoreticalBest,TotalDrivingTime,TotalLaps,OptimalS1,OptimalS2,FastestLapAt
GasCan13,01:26.122,01:25.966,1:30:27.123,59,00:41.362,00:44.604,56
chachacha,01:26.240,01:26.036,2:12:49.311,78,00:41.458,00:44.578,46
Yuval Rosen,01:26.660,01:26.342,2:44:58.200,104,00:41.577,00:44.765,57
Dori_N,01:26.798,01:26.798,2:39:20.023,83,00:42.001,00:44.797,80
yarimalk23,01:27.014,01:26.801,1:26:44.879,52,00:41.820,00:44.981,39
e30misha,01:27.322,01:27.160,1:36:22.832,62,00:41.944,00:45.216,44
U.V,01:27.391,01:27.297,2:14:16.831,43,00:42.149,00:45.148,43
AryeMorZ,01:27.522,01:27.522,4:36:47.985,76,00:42.161,00:45.361,71
assaf_itz,01:27.917,01:27.739,2:53:32.461,83,00:42.302,00:45.437,59
leviarnon1,01:27.957,01:27.929,1:07:33.559,43,00:42.381,00:45.548,42
TAL S,01:28.089,01:27.838,2:16:16.649,78,00:42.284,00:45.554,69
Elad Levy,01:28.155,01:27.815,2:21:56.089,76,00:42.347,00:45.468,50
Ido,01:28.421,01:27.890,3:04:24.079,86,00:42.265,00:45.625,80
MarkZubarev,01:28.434,01:28.434,1:08:58.764,23,00:42.781,00:45.653,19
Hublot,01:28.733,01:28.243,1:25:53.004,44,00:42.478,00:45.765,19
IMRACING R16,01:28.783,01:28.276,0:57:29.987,30,00:42.439,00:45.837,29
OmriF,01:28.800,01:28.482,12:13:18.454,379,00:42.811,00:45.671,156
SirSiriuSoWhy,01:28.813,01:28.813,0:57:12.169,28,00:43.026,00:45.787,18
Crazy,01:28.843,01:28.499,1:12:36.989,37,00:42.442,00:46.057,29
serbansim,01:28.886,01:28.587,1:39:03.305,61,00:42.808,00:45.779,41
EDF Tomer Gulak,01:28.892,01:28.855,0:20:27.322,11,00:42.776,00:46.079,11
yarin levi,01:28.905,01:28.615,2:57:17.664,90,00:42.733,00:45.882,67
A972K,01:29.069,01:28.940,0:36:46.877,23,00:42.829,00:46.111,19
BrAiT_Man,01:29.199,01:29.012,0:39:17.111,21,00:43.008,00:46.004,21
Landzer,01:29.222,01:29.019,3:34:23.479,123,00:43.015,00:46.004,111
Idan M,01:29.287,01:29.030,2:17:22.607,39,00:42.842,00:46.188,29
OneLeg,01:29.311,01:28.646,0:37:26.125,19,00:42.638,00:46.008,12
itziksamurai1,01:29.534,01:28.671,0:47:45.771,21,00:42.600,00:46.071,19
T.K,01:29.585,01:28.947,0:12:21.046,5,00:43.114,00:45.833,4
tomerventura,01:29.614,01:29.123,0:57:44.869,26,00:43.183,00:45.940,24
Yoni Goldberg,01:29.646,01:29.609,0:55:12.827,34,00:42.958,00:46.651,26
avieinav,01:29.761,01:29.623,0:22:49.180,14,00:43.256,00:46.367,12
Ori Arish,01:29.890,01:29.336,0:37:50.658,19,00:42.748,00:46.588,16
Michael Simon,01:30.328,01:29.747,0:34:06.193,16,00:43.694,00:46.053,12
KirilikBot,01:30.510,01:30.030,0:48:04.019,29,00:43.301,00:46.729,23
SHAKED,01:30.580,01:30.571,0:16:11.775,7,00:43.352,00:47.219,4
Boris Fr,01:30.709,01:29.733,5:13:07.603,165,00:42.892,00:46.841,157
DoronV,01:30.893,01:30.474,2:50:03.745,82,00:43.691,00:46.783,74
YTS01,01:30.994,01:30.787,1:28:30.589,43,00:43.731,00:47.056,39
ShimiC,01:31.017,01:31.017,0:13:04.147,5,00:43.703,00:47.314,2
Etz,01:31.161,01:31.161,5:58:17.420,136,00:44.054,00:47.107,136
drdr3vil,01:31.271,01:30.772,2:01:06.726,67,00:43.927,00:46.845,64
Sagy,01:31.280,01:31.280,0:14:37.158,7,00:44.328,00:46.952,6
Jonathan Gutman,01:32.083,01:30.809,1:21:52.009,45,00:43.856,00:46.953,27
yossi7385,01:32.791,01:32.646,1:20:17.191,43,00:45.053,00:47.593,4
IMRACING R9,01:33.062,01:31.246,1:43:53.912,45,00:43.889,00:47.357,41
ElioR_Alkobi,01:33.266,01:32.729,0:26:15.457,12,00:44.403,00:48.326,11
Corrado_Kid_VR,01:33.512,01:33.328,0:17:38.637,10,00:45.057,00:48.271,10
E.vaturi,01:33.783,01:32.890,2:35:56.750,70,00:44.705,00:48.185,67
THE GM,01:34.069,01:33.443,1:27:37.732,43,00:45.018,00:48.425,11
Or BMW,01:34.501,01:34.036,0:31:08.410,15,00:45.580,00:48.456,13
ohad,01:34.673,01:32.696,0:17:38.530,9,00:44.257,00:48.439,7
ITZYuval,01:37.866,01:33.906,0:04:15.813,2,00:45.103,00:48.803,2
ormik_pok,01:39.517,01:39.517,0:07:10.968,4,00:48.132,00:51.385,3
johnny aberzel,01:40.283,01:38.114,0:20:21.403,10,00:46.778,00:51.336,9
Daniel Malka,02:23.951,02:23.951,0:02:23.951,1,01:31.670,00:52.281,1
Y.Cohen,01:27.297,01:27.126,3:16:49.788,113,00:42.126,00,92
oyway1,01:33.685,01:32.890,0:09:29.931,4,00:44.515,00:48.375,2
