DriverName,LapNum,Timestamp,LapTime,LapTimeMins,S1,S2,S1Mins,S2Mins
GasCan13,56,1683387667,86122,01:26.122,41406,44716,00:41.406,00:44.716
chachacha,46,1683332126,86240,01:26.240,41573,44667,00:41.573,00:44.667
GasCan13,59,1683387929,86241,01:26.241,41362,44879,00:41.362,00:44.879
chachacha,26,1683237525,86310,01:26.310,41732,44578,00:41.732,00:44.578
GasCan13,24,1683384400,86341,01:26.341,41737,44604,00:41.737,00:44.604
chachacha,64,1683334006,86358,01:26.358,41700,44658,00:41.700,00:44.658
GasCan13,50,1683387116,86361,01:26.361,41513,44848,00:41.513,00:44.848
GasCan13,48,1683386943,86369,01:26.369,41734,44635,00:41.734,00:44.635
chachacha,23,1683235815,86386,01:26.386,41642,44744,00:41.642,00:44.744
chachacha,71,1683368791,86431,01:26.431,41638,44793,00:41.638,00:44.793
GasCan13,32,1683385105,86432,01:26.432,41613,44819,00:41.613,00:44.819
chachacha,63,1683333920,86447,01:26.447,41749,44698,00:41.749,00:44.698
GasCan13,22,1683384223,86471,01:26.471,41696,44775,00:41.696,00:44.775
GasCan13,39,1683385744,86486,01:26.486,41675,44811,00:41.675,00:44.811
chachacha,25,1683237439,86490,01:26.490,41795,44695,00:41.795,00:44.695
GasCan13,42,1683386009,86512,01:26.512,41643,44869,00:41.643,00:44.869
chachacha,19,1683235259,86515,01:26.515,41843,44672,00:41.843,00:44.672
GasCan13,15,1683383517,86554,01:26.554,41667,44887,00:41.667,00:44.887
chachacha,42,1683331751,86559,01:26.559,41685,44874,00:41.685,00:44.874
chachacha,73,1683368967,86580,01:26.580,41764,44816,00:41.764,00:44.816
chachacha,58,1683333341,86631,01:26.631,41820,44811,00:41.820,00:44.811
Yuval Rosen,57,1683207829,86660,01:26.660,41895,44765,00:41.895,00:44.765
chachacha,11,1683234543,86676,01:26.676,42026,44650,00:42.026,00:44.650
GasCan13,30,1683384931,86681,01:26.681,41762,44919,00:41.762,00:44.919
GasCan13,47,1683386856,86719,01:26.719,41642,45077,00:41.642,00:45.077
GasCan13,4,1683382275,86745,01:26.745,41799,44946,00:41.799,00:44.946
Yuval Rosen,68,1683397992,86753,01:26.753,41889,44864,00:41.889,00:44.864
GasCan13,55,1683387581,86755,01:26.755,41643,45112,00:41.643,00:45.112
chachacha,57,1683333254,86758,01:26.758,41835,44923,00:41.835,00:44.923
chachacha,13,1683234721,86764,01:26.764,41957,44807,00:41.957,00:44.807
chachacha,17,1683235081,86774,01:26.774,41613,45161,00:41.613,00:45.161
chachacha,6,1683233920,86775,01:26.775,41928,44847,00:41.928,00:44.847
chachacha,51,1683332720,86787,01:26.787,41831,44956,00:41.831,00:44.956
chachacha,62,1683333834,86795,01:26.795,41894,44901,00:41.894,00:44.901
Dori_N,80,1683385166,86798,01:26.798,42001,44797,00:42.001,00:44.797
GasCan13,10,1683383080,86812,01:26.812,41916,44896,00:41.916,00:44.896
chachacha,69,1683368614,86828,01:26.828,41815,45013,00:41.815,00:45.013
chachacha,54,1683332990,86839,01:26.839,41654,45185,00:41.654,00:45.185
chachacha,59,1683333427,86841,01:26.841,41710,45131,00:41.710,00:45.131
GasCan13,17,1683383693,86867,01:26.867,41638,45229,00:41.638,00:45.229
chachacha,43,1683331838,86894,01:26.894,41634,45260,00:41.634,00:45.260
GasCan13,6,1683382451,86897,01:26.897,41717,45180,00:41.717,00:45.180
Yuval Rosen,66,1683397637,86910,01:26.910,41838,45072,00:41.838,00:45.072
chachacha,5,1683233834,86923,01:26.923,42242,44681,00:42.242,00:44.681
Yuval Rosen,81,1683399143,86925,01:26.925,41704,45221,00:41.704,00:45.221
GasCan13,45,1683386680,86927,01:26.927,41495,45432,00:41.495,00:45.432
GasCan13,14,1683383431,86968,01:26.968,41909,45059,00:41.909,00:45.059
GasCan13,26,1683384575,86975,01:26.975,41777,45198,00:41.777,00:45.198
Yuval Rosen,42,1683149424,86978,01:26.978,41754,45224,00:41.754,00:45.224
Yuval Rosen,77,1683398792,86982,01:26.982,41698,45284,00:41.698,00:45.284
GasCan13,12,1683383255,86995,01:26.995,41802,45193,00:41.802,00:45.193
chachacha,21,1683235552,87007,01:27.007,41849,45158,00:41.849,00:45.158
chachacha,75,1683369143,87011,01:27.011,41778,45233,00:41.778,00:45.233
Yuval Rosen,56,1683207742,87012,01:27.012,41922,45090,00:41.922,00:45.090
yarimalk23,39,1683324400,87014,01:27.014,42033,44981,00:42.033,00:44.981
Yuval Rosen,78,1683398879,87030,01:27.030,41831,45199,00:41.831,00:45.199
Yuval Rosen,24,1683147355,87053,01:27.053,42000,45053,00,00:45.053
Yuval Rosen,31,1683148189,87059,01:27.059,42123,44936,00:42.123,00:44.936
chachacha,33,1683330844,87110,01:27.110,41458,45652,00:41.458,00:45.652
chachacha,78,1683369420,87121,01:27.121,41878,45243,00:41.878,00:45.243
yarimalk23,45,1683324971,87148,01:27.148,41927,45221,00:41.927,00:45.221
Yuval Rosen,25,1683147442,87185,01:27.185,41880,45305,00:41.880,00:45.305
Yuval Rosen,92,1683400150,87198,01:27.198,41775,45423,00:41.775,00:45.423
Yuval Rosen,48,1683149978,87212,01:27.212,41965,45247,00:41.965,00:45.247
Dori_N,68,1683384026,87232,01:27.232,42300,44932,00:42.300,00:44.932
Dori_N,79,1683385079,87236,01:27.236,42227,45009,00:42.227,00:45.009
Yuval Rosen,59,1683397002,87239,01:27.239,42024,45215,00:42.024,00:45.215
chachacha,68,1683368527,87265,01:27.265,42099,45166,00:42.099,00:45.166
Dori_N,75,1683384711,87268,01:27.268,42142,45126,00:42.142,00:45.126
Yuval Rosen,17,1683146662,87273,01:27.273,41949,45324,00:41.949,00:45.324
GasCan13,57,1683387754,87283,01:27.283,41729,45554,00:41.729,00:45.554
chachacha,56,1683333167,87284,01:27.284,41996,45288,00:41.996,00:45.288
Y.Cohen,92,1683389530,87297,01:27.297,42126,45171,00:42.126,00:45.171
chachacha,40,1683331478,87298,01:27.298,42015,45283,00:42.015,00:45.283
Yuval Rosen,4,1683145485,87307,01:27.307,42420,44887,00:42.420,00:44.887
e30misha,44,1683184234,87322,01:27.322,41944,45378,00:41.944,00:45.378
chachacha,49,1683332539,87326,01:27.326,41868,45458,00:41.868,00:45.458
Y.Cohen,104,1683390838,87331,01:27.331,42331,45000,00:42.331,00
Y.Cohen,94,1683389761,87336,01:27.336,42128,45208,00:42.128,00:45.208
Y.Cohen,100,1683390473,87355,01:27.355,42184,45171,00:42.184,00:45.171
chachacha,66,1683368351,87355,01:27.355,42206,45149,00:42.206,00:45.149
yarimalk23,29,1683323455,87366,01:27.366,42122,45244,00:42.122,00:45.244
U.V,43,1683282446,87391,01:27.391,42243,45148,00:42.243,00:45.148
GasCan13,8,1683382814,87419,01:27.419,42136,45283,00:42.136,00:45.283
Dori_N,50,1683371255,87424,01:27.424,42393,45031,00:42.393,00:45.031
Yuval Rosen,63,1683397374,87445,01:27.445,41910,45535,00:41.910,00:45.535
chachacha,3,1683233603,87452,01:27.452,42273,45179,00:42.273,00:45.179
Dori_N,64,1683382481,87458,01:27.458,42342,45116,00:42.342,00:45.116
Y.Cohen,98,1683390112,87460,01:27.460,42280,45180,00:42.280,00:45.180
Yuval Rosen,3,1683145398,87482,01:27.482,42442,45040,00:42.442,00:45.040
chachacha,32,1683330757,87486,01:27.486,41955,45531,00:41.955,00:45.531
GasCan13,49,1683387030,87496,01:27.496,41916,45580,00:41.916,00:45.580
Y.Cohen,87,1683389080,87505,01:27.505,42361,45144,00:42.361,00:45.144
Yuval Rosen,8,1683145844,87513,01:27.513,42283,45230,00:42.283,00:45.230
Dori_N,42,1683370363,87514,01:27.514,42374,45140,00:42.374,00:45.140
yarimalk23,38,1683324313,87518,01:27.518,42208,45310,00:42.208,00:45.310
e30misha,57,1683216505,87521,01:27.521,42125,45396,00:42.125,00:45.396
AryeMorZ,71,1683395671,87522,01:27.522,42161,45361,00:42.161,00:45.361
Y.Cohen,97,1683390024,87527,01:27.527,42307,45220,00:42.307,00:45.220
Yuval Rosen,45,1683149701,87532,01:27.532,42023,45509,00:42.023,00:45.509
Dori_N,45,1683370638,87553,01:27.553,42625,44928,00:42.625,00:44.928
Yuval Rosen,75,1683398615,87568,01:27.568,42154,45414,00:42.154,00:45.414
Y.Cohen,58,1683367792,87573,01:27.573,42410,45163,00:42.410,00:45.163
Y.Cohen,49,1683366525,87576,01:27.576,42463,45113,00:42.463,00:45.113
Y.Cohen,86,1683388992,87587,01:27.587,42367,45220,00:42.367,00:45.220
GasCan13,35,1683385372,87592,01:27.592,41719,45873,00:41.719,00:45.873
Y.Cohen,76,1683387928,87602,01:27.602,42535,45067,00:42.535,00:45.067
Y.Cohen,90,1683389355,87603,01:27.603,42175,45428,00:42.175,00:45.428
U.V,41,1683282268,87604,01:27.604,42311,45293,00:42.311,00:45.293
Y.Cohen,95,1683389848,87615,01:27.615,42416,45199,00:42.416,00:45.199
Yuval Rosen,72,1683398344,87620,01:27.620,41698,45922,00:41.698,00:45.922
Y.Cohen,77,1683388016,87631,01:27.631,42271,45360,00:42.271,00:45.360
Yuval Rosen,65,1683397550,87631,01:27.631,41996,45635,00:41.996,00:45.635
GasCan13,3,1683382188,87650,01:27.650,42133,45517,00:42.133,00:45.517
yarimalk23,24,1683322993,87653,01:27.653,42303,45350,00:42.303,00:45.350
e30misha,56,1683216418,87667,01:27.667,42438,45229,00:42.438,00:45.229
Yuval Rosen,87,1683399683,87668,01:27.668,42093,45575,00:42.093,00:45.575
Y.Cohen,70,1683387399,87669,01:27.669,42336,45333,00:42.336,00:45.333
Yuval Rosen,41,1683149337,87692,01:27.692,41959,45733,00:41.959,00:45.733
Dori_N,73,1683384532,87703,01:27.703,42109,45594,00:42.109,00:45.594
e30misha,37,1683183599,87715,01:27.715,42499,45216,00:42.499,00:45.216
GasCan13,41,1683385923,87729,01:27.729,42310,45419,00:42.310,00:45.419
Y.Cohen,106,1683391014,87738,01:27.738,42342,45396,00:42.342,00:45.396
Yuval Rosen,94,1683400334,87760,01:27.760,42090,45670,00:42.090,00:45.670
Dori_N,40,1683370162,87761,01:27.761,42433,45328,00:42.433,00:45.328
e30misha,43,1683184147,87768,01:27.768,42254,45514,00:42.254,00:45.514
e30misha,48,1683215642,87776,01:27.776,42412,45364,00:42.412,00:45.364
yarimalk23,50,1683325563,87777,01:27.777,42250,45527,00:42.250,00:45.527
Yuval Rosen,83,1683399321,87787,01:27.787,41757,46030,00:41.757,00:46.030
U.V,34,1683278880,87803,01:27.803,42578,45225,00:42.578,00:45.225
GasCan13,2,1683382101,87831,01:27.831,41858,45973,00:41.858,00:45.973
e30misha,47,1683215554,87843,01:27.843,42478,45365,00:42.478,00:45.365
Yuval Rosen,95,1683400422,87850,01:27.850,42017,45833,00:42.017,00:45.833
yarimalk23,19,1683301212,87852,01:27.852,42411,45441,00:42.411,00:45.441
Y.Cohen,91,1683389442,87853,01:27.853,42322,45531,00:42.322,00:45.531
AryeMorZ,69,1683395491,87855,01:27.855,42323,45532,00:42.323,00:45.532
GasCan13,31,1683385019,87865,01:27.865,41969,45896,00:41.969,00:45.896
e30misha,53,1683216118,87872,01:27.872,42409,45463,00:42.409,00:45.463
U.V,11,1683220762,87873,01:27.873,42468,45405,00:42.468,00:45.405
