DriverName,FastestLap,TheoreticalBest,TotalDrivingTime,TotalLaps,OptimalS1,OptimalS2,OptimalS3,FastestLapAt
chachacha,01:39.440,01:39.440,3:06:46.866,100,00:21.613,00:45.697,00:32.130,97
Yuval Rosen,01:39.560,01:39.115,7:02:47.180,184,00:21.517,00:45.517,00:32.081,178
GasCan13,01:39.701,01:39.451,1:28:40.639,32,00:21.521,00:45.684,00:32.246,17
yarimalk23,01:40.626,01:40.378,5:06:15.653,165,00:21.880,00:46.229,00:32.269,111
ilaishimony1,01:40.963,01:40.732,5:52:45.666,184,00:22.031,00:46.036,00:32.665,175
Daniel Lerman,01:40.964,01:40.593,2:41:41.369,72,00:21.920,00:46.255,00:32.418,72
A.C,01:41.272,01:40.802,4:48:48.184,154,00:21.971,00:46.143,00:32.688,136
Ido,01:41.518,01:41.302,2:10:40.792,69,00:22.166,00:46.174,00:32.962,69
Elad Levy,01:41.976,01:41.935,2:13:10.847,39,00:22.227,00:46.471,00:33.237,28
leviarnon1,01:42.015,01:41.514,3:35:06.876,112,00:22.112,00:46.611,00:32.791,76
Talsha Widebody (Tal),01:42.021,01:41.559,0:36:53.848,21,00:22.448,00:46.360,00:32.751,9
Bruh2006,01:42.123,01:41.466,1:19:01.710,40,00:22.153,00:46.471,00:32.842,28
gizmos,01:42.187,01:41.674,1:25:16.884,42,00:22.199,00:46.494,00:32.981,35
Dor Sapir,01:42.366,01:41.852,7:45:26.457,219,00:22.350,00:46.525,00:32.977,177
yarin levi,01:42.492,01:41.901,3:29:52.241,85,00:22.221,00:46.498,00:33.182,75
OmriF,01:42.538,01:42.038,15:13:00.834,414,00:22.361,00:46.413,00:33.264,398
serbansim,01:42.539,01:42.117,2:44:04.723,86,00:22.592,00:46.585,00:32.940,81
ItamarS3,01:42.690,01:41.862,3:12:25.524,98,00:22.265,00:46.252,00:33.345,91
e30misha,01:42.863,01:42.118,1:04:51.385,31,00:22.369,00:46.674,00:33.075,29
U.V,01:43.424,01:42.601,2:43:38.992,55,00:22.446,00:46.872,00:33.283,50
IMRACING R16,01:43.580,01:43.522,2:18:00.058,50,00:22.995,00:46.989,00:33.538,45
IMRACING R9,01:43.613,01:43.221,1:14:50.722,30,00:22.622,00:46.885,00:33.714,16
A972K,01:43.662,01:43.516,1:40:19.229,43,00:22.960,00:47.057,00:33.499,41
tomerventura,01:43.683,01:43.303,1:30:39.239,42,00:22.488,00:47.412,00:33.403,32
MarkZubarev,01:43.719,01:43.322,0:48:25.460,24,00:23.006,00:47.097,00:33.219,23
giladheskia,01:43.774,01:43.011,0:44:50.169,21,00:22.128,00:47.219,00:33.664,19
SHAKED,01:44.725,01:44.276,0:54:49.622,24,00:23.320,00:47.255,00:33.701,13
Sagy,01:44.892,01:44.829,1:08:14.862,28,00:23.010,00:47.911,00:33.908,21
Yoni Goldberg,01:44.985,01:44.388,1:00:16.066,31,00:22.664,00:47.718,00:34.006,28
BrAiT_Man,01:44.986,01:44.505,0:34:19.619,10,00:22.892,00:47.980,00:33.633,9
Landzer,01:45.408,01:44.853,1:17:46.694,36,00:23.089,00:47.178,00:34.586,33
Idan M,01:45.416,01:43.900,2:11:45.197,49,00:22.738,00:47.533,00:33.629,33
DoronV,01:45.633,01:44.378,3:11:34.083,90,00:22.725,00:47.444,00:34.209,72
T.K,01:45.777,01:45.611,0:11:00.634,5,00:23.904,00:47.390,00:34.317,5
itziksamurai1,01:45.783,01:45.373,1:15:07.433,32,00:23.616,00:47.759,00:33.998,30
johnny aberzel,01:45.937,01:45.361,5:59:11.097,150,00:23.006,00:48.271,00:34.084,109
MADr1v3r,01:46.095,01:45.777,3:35:46.392,85,00:23.417,00:48.214,00:34.146,61
E.vaturi,01:46.400,01:45.158,4:46:59.941,134,00:22.934,00:47.660,00:34.564,128
Jonathan Gutman,01:46.401,01:45.784,2:18:23.131,51,00:22.984,00:48.217,00:34.583,47
Amnon Etz,01:46.739,01:45.655,7:38:04.899,179,00:23.112,00:48.208,00:34.335,121
Stav Mesika,01:47.254,01:47.169,1:19:16.057,32,00:23.005,00:48.871,00:35.293,31
Boris Fr,01:47.446,01:45.750,3:00:10.325,81,00:22.914,00:48.662,00:34.174,58
miharonel,01:48.524,01:47.282,0:32:05.830,16,00:23.591,00:48.074,00:35.617,15
EDF Tomer Gulak,01:48.822,01:47.994,0:20:56.357,10,00:24.087,00:49.104,00:34.803,3
Rako,01:49.025,01:48.325,0:54:28.250,23,00:23.791,00:49.411,00:35.123,12
OneLeg,01:49.582,01:49.184,0:35:33.566,16,00:24.148,00:49.837,00:35.199,15
yossi7385,01:49.647,01:49.647,0:37:52.468,15,00:24.470,00:49.829,00:35.348,15
ShimiC,01:54.160,01:50.466,0:14:43.369,6,00:24.691,00:49.645,00:36.130,3
Ben Cohen,01:54.233,01:54.233,0:53:43.068,21,00:25.849,00:51.584,00:36.800,21
Etz,01:56.197,01:51.510,0:37:44.583,12,00:23.845,00:51.498,00:36.167,2
Or BMW,01:56.362,01:54.916,0:06:06.696,3,00:26.168,00:52.064,00:36.684,3
BambaBee,01:58.938,01:55.018,0:26:58.808,11,00:25.473,00:52.321,00:37.224,9
ohadavni2112,02:07.790,01:58.868,0:16:06.048,6,00:32.729,00:50.823,00:35.316,3
ohad,02:10.175,02:00.141,0:11:07.743,3,00:25.762,00:52.912,00:41.467,3
144 Hz | SnowflakE,02:33.736,02:33.736,0:05:54.171,2,00:34.058,01:09.759,00:49.919,1
AryeMorZ,03:32.392,03:32.392,0:03:32.392,1,01:57.429,00:54.377,00:40.586,1
