DriverName,Type,count_star()
Amnon Etz,COLLISION_WITH_ENV,754
Yuval Rosen,COLLISION_WITH_ENV,352
Idan M,COLLISION_WITH_ENV,260
yarin levi,COLLISION_WITH_ENV,247
OmriF,COLLISION_WITH_ENV,236
SHAKED,COLLISION_WITH_ENV,212
chachacha,COLLISION_WITH_ENV,194
Bakish,COLLISION_WITH_ENV,163
Crazy,COLLISION_WITH_ENV,130
A.C,COLLISION_WITH_ENV,114
U.V,COLLISION_WITH_ENV,108
ShimiC,COLLISION_WITH_ENV,108
leviarnon1,COLLISION_WITH_ENV,99
HaimRaeburn,COLLISION_WITH_ENV,99
TAL S,COLLISION_WITH_ENV,93
yarimalk23,COLLISION_WITH_ENV,90
AryeMorZ,COLLISION_WITH_ENV,90
Tom Moushkatel,COLLISION_WITH_ENV,88
GasCan13,COLLISION_WITH_ENV,87
miharonel,COLLISION_WITH_ENV,82
THE GM,COLLISION_WITH_ENV,82
SirSiriuSoWhy,COLLISION_WITH_ENV,82
serbansim,COLLISION_WITH_ENV,82
johhny,COLLISION_WITH_ENV,81
DoronV,COLLISION_WITH_ENV,76
Boris Fr,COLLISION_WITH_ENV,76
Hublot,COLLISION_WITH_ENV,64
isd159159,COLLISION_WITH_ENV,63
Ido,COLLISION_WITH_ENV,51
Daniel Lerman,COLLISION_WITH_ENV,49
Landzer,COLLISION_WITH_ENV,46
yarin levi,COLLISION_WITH_CAR,44
JACOV RONDEL,COLLISION_WITH_ENV,42
BulFas,COLLISION_WITH_ENV,39
E.vaturi,COLLISION_WITH_ENV,37
YoniGo,COLLISION_WITH_ENV,36
Bamba,COLLISION_WITH_ENV,36
sushi,COLLISION_WITH_ENV,33
PickyMouse,COLLISION_WITH_ENV,32
Idan M,COLLISION_WITH_CAR,31
IMRACING R16,COLLISION_WITH_ENV,29
Crazy,COLLISION_WITH_CAR,23
Reem Gross,COLLISION_WITH_ENV,23
gizmos,COLLISION_WITH_ENV,22
Player,COLLISION_WITH_ENV,21
avieinav,COLLISION_WITH_ENV,19
OmriF,COLLISION_WITH_CAR,17
e30misha,COLLISION_WITH_ENV,15
johhny,COLLISION_WITH_CAR,15
Bakish,COLLISION_WITH_CAR,13
Sagy,COLLISION_WITH_ENV,11
BulFas,COLLISION_WITH_CAR,9
IMRACING R9,COLLISION_WITH_ENV,8
giladheskia,COLLISION_WITH_ENV,8
SHAKED,COLLISION_WITH_CAR,7
TAL S,COLLISION_WITH_CAR,7
Yuval Rosen,COLLISION_WITH_CAR,7
AryeMorZ,COLLISION_WITH_CAR,7
isd159159,COLLISION_WITH_CAR,7
DeadMoroz,COLLISION_WITH_ENV,7
Amnon Etz,COLLISION_WITH_CAR,6
U.V,COLLISION_WITH_CAR,6
ElioR_Alkobi,COLLISION_WITH_ENV,6
Dor Sapir,COLLISION_WITH_ENV,6
refael,COLLISION_WITH_ENV,6
SirSiriuSoWhy,COLLISION_WITH_CAR,5
Ori Arish,COLLISION_WITH_ENV,5
Dani_b,COLLISION_WITH_ENV,5
ShimiC,COLLISION_WITH_CAR,5
chachacha,COLLISION_WITH_CAR,4
Corrado_Kid,COLLISION_WITH_ENV,4
Rako,COLLISION_WITH_ENV,4
Reem Gross,COLLISION_WITH_CAR,4
DoronV,COLLISION_WITH_CAR,3
GasCan13,COLLISION_WITH_CAR,3
Ido,COLLISION_WITH_CAR,3
IMRACING R16,COLLISION_WITH_CAR,3
A.C,COLLISION_WITH_CAR,3
Michael Simon,COLLISION_WITH_ENV,3
THE GM,COLLISION_WITH_CAR,2
miharonel,COLLISION_WITH_CAR,2
Sagy,COLLISION_WITH_CAR,2
Hublot,COLLISION_WITH_CAR,2
avieinav,COLLISION_WITH_CAR,2
Dani_b,COLLISION_WITH_CAR,1
Daniel Lerman,COLLISION_WITH_CAR,1
E.vaturi,COLLISION_WITH_CAR,1
ElioR_Alkobi,COLLISION_WITH_CAR,1
Boris Fr,COLLISION_WITH_CAR,1
leviarnon1,COLLISION_WITH_CAR,1
serbansim,COLLISION_WITH_CAR,1
