DriverName,FastestLap,TheoreticalBest,TotalDrivingTime,TotalLaps,OptimalS1,cuts,valid_ratio,FastestLapAt
chachacha,06:08.296,06:08.296,1:51:13.959,18,06:08.296,13.0,0.0,18
GasCan13,06:10.899,06:10.899,0:31:06.740,5,06:10.899,5.0,1.0,5
AryeMorZ,06:11.785,06:11.785,1:01:58.858,9,06:11.785,3.0,0.0,8
Yuval Rosen,06:13.411,06:13.411,1:28:08.539,14,06:13.411,8.0,0.0,12
yarimalk23,06:13.811,06:13.811,0:50:27.713,8,06:13.811,4.0,0.0,8
TAL S,06:17.786,06:17.786,1:48:24.378,17,06:17.786,13.0,0.0,17
Reem Gross,06:17.883,06:17.883,0:12:52.966,2,06:17.883,1.0,0.0,2
U.V,06:18.326,06:18.326,1:10:20.821,11,06:18.326,9.0,0.0,11
leviarnon1,06:19.595,06:19.595,2:21:35.898,22,06:19.595,14.0,0.0,22
e30misha,06:19.996,06:19.996,0:38:28.290,6,06:19.996,5.0,0.0,6
SirSiriuSoWhy,06:20.485,06:20.485,0:58:11.057,9,06:20.485,7.0,0.0,8
gizmos,06:22.539,06:22.539,0:51:23.693,8,06:22.539,7.0,0.0,7
A.C,06:23.355,06:23.355,0:45:13.101,7,06:23.355,6.0,0.0,6
SHAKED,06:26.337,06:26.337,0:46:26.871,7,06:26.337,4.0,0.0,6
Ido,06:26.396,06:26.396,0:45:52.678,7,06:26.396,3.0,0.0,7
serbansim,06:27.594,06:27.594,1:52:33.284,17,06:27.594,4.0,0.0,16
avieinav,06:27.831,06:27.831,0:06:27.831,1,06:27.831,1.0,1.0,1
Michael Simon,06:27.854,06:27.854,0:13:02.131,2,06:27.854,2.0,1.0,2
yarin levi,06:28.066,06:28.066,0:59:23.741,9,06:28.066,5.0,0.0,9
giladheskia,06:28.117,06:28.117,0:19:45.287,3,06:28.117,3.0,1.0,3
ShimiC,06:30.825,06:30.825,0:34:01.525,5,06:30.825,2.0,0.0,4
miharonel,06:31.040,06:31.040,0:19:40.960,3,06:31.040,2.0,0.0,3
Idan M,06:31.525,06:31.525,1:06:29.236,10,06:31.525,4.0,0.0,10
refael,06:31.827,06:31.827,0:39:22.534,6,06:31.827,5.0,0.0,6
Boris Fr,06:31.839,06:31.839,1:19:56.393,12,06:31.839,12.0,1.0,12
Dor Sapir,06:32.252,06:32.252,0:06:32.252,1,06:32.252,1.0,1.0,1
Dani_b,06:32.574,06:32.574,0:19:45.224,3,06:32.574,2.0,0.0,3
YoniGo,06:33.537,06:33.537,0:53:09.814,8,06:33.537,5.0,0.0,6
Crazy,06:36.213,06:36.213,0:26:32.122,4,06:36.213,2.0,0.0,4
IMRACING R16,06:36.825,06:36.825,0:19:57.579,3,06:36.825,2.0,0.0,2
OmriF,06:39.955,06:39.955,1:15:40.030,11,06:39.955,6.0,0.0,11
MarkZubarev,06:42.196,06:42.196,0:06:42.196,1,06:42.196,0.0,0.0,1
DoronV,06:46.815,06:46.815,2:13:03.154,19,06:46.815,17.0,0.0,19
JACOV RONDEL,06:48.041,06:48.041,0:27:44.666,4,06:48.041,2.0,0.0,4
Corrado_Kid,06:51.247,06:51.247,0:13:47.310,2,06:51.247,2.0,1.0,2
isd159159,06:54.732,06:54.732,0:13:58.794,2,06:54.732,0.0,0.0,2
HaimRaeburn,06:57.511,06:57.511,0:50:54.285,7,06:57.511,2.0,0.0,4
THE GM,06:58.848,06:58.848,0:44:19.578,6,06:58.848,4.0,0.0,4
PickyMouse,06:59.093,06:59.093,0:21:27.178,3,06:59.093,1.0,0.0,3
Amnon Etz,06:59.473,06:59.473,4:19:13.228,33,06:59.473,7.0,0.0,33
ElioR_Alkobi,07:00.242,07:00.242,0:14:04.216,2,07:00.242,0.0,0.0,2
Player,07:03.860,07:03.860,0:14:23.013,2,07:03.860,0.0,0.0,2
E.vaturi,07:04.382,07:04.382,0:58:56.206,8,07:04.382,6.0,0.0,5
Bakish,07:05.646,07:05.646,0:46:29.838,6,07:05.646,1.0,0.0,6
BulFas,07:14.824,07:14.824,0:15:40.595,2,07:14.824,0.0,0.0,1
Bamba,07:55.911,07:55.911,0:07:55.911,1,07:55.911,0.0,0.0,1
Daniel Lerman,06:14.200,06:14.200,0:51:04.308,8,06:14.200,7.0,0.0,8
Tom Moushkatel,06:23.161,06:23.161,1:38:23.397,15,06:23.161,9.0,0.0,15
Hublot,06:26.700,06:26.700,0:45:30.829,7,06:26.700,6.0,0.0,6
DeadMoroz,06:27.782,06:27.782,0:06:27.782,1,06:27.782,1.0,1.0,1
Landzer,06:33.328,06:33.328,1:13:41.794,11,06:33.328,5.0,0.0,11
johhny,06:52.423,06:52.423,0:36:16.690,5,06:52.423,1.0,0.0,1
