DriverName,LapNum,Timestamp,LapTime,Cuts,LapTimeMins,S1,S1Mins
chachacha,18,1684600514,368296,0,06:08.296,368296,06:08.296
chachacha,17,1684599909,369108,0,06:09.108,369108,06:09.108
chachacha,12,1684543541,369110,0,06:09.110,369110,06:09.110
chachacha,11,1684500202,369577,0,06:09.577,369577,06:09.577
chachacha,16,1684598904,369621,0,06:09.621,369621,06:09.621
chachacha,15,1684597905,369646,0,06:09.646,369646,06:09.646
chachacha,14,1684597460,369889,0,06:09.889,369889,06:09.889
chachacha,9,1684493143,369978,0,06:09.978,369978,06:09.978
chachacha,8,1684492692,370098,2,06:10.098,370098,06:10.098
chachacha,7,1684490846,370477,0,06:10.477,370477,06:10.477
chachacha,6,1684490034,370486,0,06:10.486,370486,06:10.486
chachacha,10,1684498385,370783,1,06:10.783,370783,06:10.783
GasCan13,5,1684489254,370899,0,06:10.899,370899,06:10.899
chachacha,13,1684597023,371178,1,06:11.178,371178,06:11.178
chachacha,4,1684428389,371360,1,06:11.360,371360,06:11.360
chachacha,5,1684431705,371638,0,06:11.638,371638,06:11.638
GasCan13,4,1684485475,371702,0,06:11.702,371702,06:11.702
AryeMorZ,8,1684613498,371785,0,06:11.785,371785,06:11.785
GasCan13,3,1684485032,372355,0,06:12.355,372355,06:12.355
chachacha,3,1684426956,372763,0,06:12.763,372763,06:12.763
AryeMorZ,1,1684606467,372885,0,06:12.885,372885,06:12.885
Yuval Rosen,12,1684596363,373411,0,06:13.411,373411,06:13.411
yarimalk23,8,1684590812,373811,0,06:13.811,373811,06:13.811
Yuval Rosen,11,1684595166,373844,0,06:13.844,373844,06:13.844
Yuval Rosen,13,1684597489,373847,0,06:13.847,373847,06:13.847
Yuval Rosen,14,1684599513,373848,0,06:13.848,373848,06:13.848
GasCan13,2,1684429083,373879,0,06:13.879,373879,06:13.879
AryeMorZ,7,1684613057,374049,1,06:14.049,374049,06:14.049
Daniel Lerman,8,1684590984,374200,0,06:14.200,374200,06:14.200
Yuval Rosen,10,1684593735,374200,0,06:14.200,374200,06:14.200
Yuval Rosen,9,1684503491,374451,0,06:14.451,374451,06:14.451
Daniel Lerman,7,1684589620,374811,0,06:14.811,374811,06:14.811
yarimalk23,7,1684589870,374836,1,06:14.836,374836,06:14.836
chachacha,2,1684426266,374884,0,06:14.884,374884,06:14.884
chachacha,1,1684425492,375067,1,06:15.067,375067,06:15.067
Daniel Lerman,3,1684437703,375152,0,06:15.152,375152,06:15.152
Daniel Lerman,4,1684438716,375282,0,06:15.282,375282,06:15.282
Daniel Lerman,6,1684588808,375582,0,06:15.582,375582,06:15.582
Daniel Lerman,5,1684441906,375636,0,06:15.636,375636,06:15.636
Yuval Rosen,7,1684500054,376879,0,06:16.879,376879,06:16.879
yarimalk23,6,1684589339,376960,0,06:16.960,376960,06:16.960
yarimalk23,5,1684539074,377061,0,06:17.061,377061,06:17.061
Daniel Lerman,2,1684436865,377239,0,06:17.239,377239,06:17.239
Yuval Rosen,8,1684502681,377387,2,06:17.387,377387,06:17.387
TAL S,17,1684605343,377786,0,06:17.786,377786,06:17.786
Reem Gross,2,1684607862,377883,0,06:17.883,377883,06:17.883
GasCan13,1,1684427765,377905,0,06:17.905,377905,06:17.905
U.V,11,1684616441,378326,0,06:18.326,378326,06:18.326
Yuval Rosen,6,1684499628,379091,3,06:19.091,379091,06:19.091
Yuval Rosen,5,1684499216,379280,0,06:19.280,379280,06:19.280
yarimalk23,2,1684535024,379408,0,06:19.408,379408,06:19.408
U.V,10,1684615623,379519,1,06:19.519,379519,06:19.519
TAL S,15,1684522567,379520,0,06:19.520,379520,06:19.520
leviarnon1,22,1684608660,379595,0,06:19.595,379595,06:19.595
e30misha,6,1684599888,379996,0,06:19.996,379996,06:19.996
leviarnon1,14,1684453144,380089,0,06:20.089,380089,06:20.089
TAL S,10,1684495096,380106,0,06:20.106,380106,06:20.106
yarimalk23,3,1684536034,380150,5,06:20.150,380150,06:20.150
TAL S,11,1684495980,380228,1,06:20.228,380228,06:20.228
U.V,8,1684485683,380252,0,06:20.252,380252,06:20.252
U.V,6,1684429370,380366,0,06:20.366,380366,06:20.366
TAL S,12,1684496613,380454,1,06:20.454,380454,06:20.454
leviarnon1,21,1684608228,380462,0,06:20.462,380462,06:20.462
SirSiriuSoWhy,8,1684590969,380485,0,06:20.485,380485,06:20.485
TAL S,14,1684522121,380506,0,06:20.506,380506,06:20.506
yarimalk23,4,1684538217,380526,2,06:20.526,380526,06:20.526
Yuval Rosen,4,1684498100,380569,4,06:20.569,380569,06:20.569
SirSiriuSoWhy,9,1684601510,380637,0,06:20.637,380637,06:20.637
TAL S,13,1684520846,381151,0,06:21.151,381151,06:21.151
TAL S,16,1684604824,381190,0,06:21.190,381190,06:21.190
Yuval Rosen,3,1684497514,381207,2,06:21.207,381207,06:21.207
TAL S,7,1684436041,381282,0,06:21.282,381282,06:21.282
leviarnon1,20,1684607270,381326,0,06:21.326,381326,06:21.326
TAL S,9,1684437157,381555,0,06:21.555,381555,06:21.555
TAL S,8,1684436698,381589,0,06:21.589,381589,06:21.589
U.V,7,1684430592,381637,0,06:21.637,381637,06:21.637
leviarnon1,13,1684452185,381709,0,06:21.709,381709,06:21.709
SirSiriuSoWhy,5,1684586054,381733,0,06:21.733,381733,06:21.733
SirSiriuSoWhy,6,1684588007,381743,0,06:21.743,381743,06:21.743
leviarnon1,11,1684451030,382012,0,06:22.012,382012,06:22.012
U.V,5,1684426856,382099,0,06:22.099,382099,06:22.099
e30misha,4,1684416406,382151,0,06:22.151,382151,06:22.151
leviarnon1,8,1684426310,382365,0,06:22.365,382365,06:22.365
gizmos,7,1684512811,382539,0,06:22.539,382539,06:22.539
leviarnon1,18,1684605450,382586,0,06:22.586,382586,06:22.586
e30misha,3,1684410338,382596,0,06:22.596,382596,06:22.596
TAL S,6,1684435524,382788,0,06:22.788,382788,06:22.788
gizmos,6,1684512217,382894,0,06:22.894,382894,06:22.894
Yuval Rosen,2,1684497099,382926,5,06:22.926,382926,06:22.926
Tom Moushkatel,15,1684615494,383161,0,06:23.161,383161,06:23.161
leviarnon1,9,1684449092,383337,0,06:23.337,383337,06:23.337
A.C,6,1684613158,383355,0,06:23.355,383355,06:23.355
leviarnon1,19,1684606847,383608,2,06:23.608,383608,06:23.608
U.V,9,1684609586,383728,0,06:23.728,383728,06:23.728
leviarnon1,10,1684449574,384019,0,06:24.019,384019,06:24.019
leviarnon1,17,1684604993,384027,0,06:24.027,384027,06:24.027
gizmos,5,1684511679,384252,0,06:24.252,384252,06:24.252
U.V,4,1684421427,384307,0,06:24.307,384307,06:24.307
Tom Moushkatel,11,1684612406,384315,0,06:24.315,384315,06:24.315
A.C,7,1684616123,384326,0,06:24.326,384326,06:24.326
gizmos,8,1684513477,384373,0,06:24.373,384373,06:24.373
Tom Moushkatel,13,1684614023,384646,0,06:24.646,384646,06:24.646
leviarnon1,12,1684451734,384688,1,06:24.688,384688,06:24.688
gizmos,3,1684510716,384703,0,06:24.703,384703,06:24.703
yarimalk23,1,1684362835,384961,2,06:24.961,384961,06:24.961
SirSiriuSoWhy,2,1684429514,384962,0,06:24.962,384962,06:24.962
TAL S,5,1684435017,385302,1,06:25.302,385302,06:25.302
leviarnon1,15,1684603315,385581,0,06:25.581,385581,06:25.581
A.C,4,1684610568,385713,0,06:25.713,385713,06:25.713
TAL S,4,1684421745,385776,0,06:25.776,385776,06:25.776
U.V,3,1684257669,385902,0,06:25.902,385902,06:25.902
Tom Moushkatel,14,1684614451,386106,2,06:26.106,386106,06:26.106
leviarnon1,4,1684422269,386257,1,06:26.257,386257,06:26.257
SirSiriuSoWhy,4,1684584198,386257,0,06:26.257,386257,06:26.257
e30misha,5,1684599004,386300,3,06:26.300,386300,06:26.300
SHAKED,6,1684440632,386337,0,06:26.337,386337,06:26.337
Ido,7,1684616011,386396,0,06:26.396,386396,06:26.396
gizmos,2,1684509679,386592,0,06:26.592,386592,06:26.592
A.C,5,1684612004,386604,0,06:26.604,386604,06:26.604
SirSiriuSoWhy,1,1684428967,386657,0,06:26.657,386657,06:26.657
Hublot,6,1684615180,386700,0,06:26.700,386700,06:26.700
TAL S,1,1684403471,386908,0,06:26.908,386908,06:26.908
Tom Moushkatel,7,1684541153,387037,0,06:27.037,387037,06:27.037
leviarnon1,7,1684424715,387060,1,06:27.060,387060,06:27.060
SHAKED,7,1684500343,387170,0,06:27.170,387170,06:27.170
leviarnon1,6,1684423327,387236,1,06:27.236,387236,06:27.236
TAL S,2,1684420724,387512,0,06:27.512,387512,06:27.512
serbansim,16,1684609914,387594,2,06:27.594,387594,06:27.594
Yuval Rosen,1,1684496505,387599,1,06:27.599,387599,06:27.599
DeadMoroz,1,1684616461,387782,0,06:27.782,387782,06:27.782
avieinav,1,1684614034,387831,0,06:27.831,387831,06:27.831
Michael Simon,2,1684522982,387854,0,06:27.854,387854,06:27.854
leviarnon1,16,1684604459,387960,2,06:27.960,387960,06:27.960
yarin levi,9,1684604752,388066,0,06:28.066,388066,06:28.066
e30misha,1,1684408835,388105,0,06:28.105,388105,06:28.105
giladheskia,3,1684591420,388117,0,06:28.117,388117,06:28.117
Hublot,7,1684615639,388138,0,06:28.138,388138,06:28.138
Tom Moushkatel,10,1684611982,388367,2,06:28.367,388367,06:28.367
SHAKED,5,1684437424,388375,0,06:28.375,388375,06:28.375
serbansim,15,1684609084,388960,2,06:28.960,388960,06:28.960
gizmos,1,1684506955,388975,0,06:28.975,388975,06:28.975
Hublot,5,1684614584,389044,0,06:29.044,389044,06:29.044
Ido,6,1684615061,389069,0,06:29.069,389069,06:29.069
yarin levi,7,1684509307,389077,0,06:29.077,389077,06:29.077
e30misha,2,1684409807,389142,0,06:29.142,389142,06:29.142
gizmos,4,1684511199,389365,1,06:29.365,389365,06:29.365
A.C,3,1684511857,389487,0,06:29.487,389487,06:29.487
A.C,2,1684509661,389679,0,06:29.679,389679,06:29.679
Hublot,4,1684614048,389684,0,06:29.684,389684,06:29.684
serbansim,13,1684596052,389817,0,06:29.817,389817,06:29.817
leviarnon1,2,1684420843,389898,0,06:29.898,389898,06:29.898
yarin levi,8,1684576462,390117,0,06:30.117,390117,06:30.117
Tom Moushkatel,4,1684537989,390250,0,06:30.250,390250,06:30.250
serbansim,12,1684579088,390283,4,06:30.283,390283,06:30.283
Hublot,1,1684609188,390322,2,06:30.322,390322,06:30.322
Tom Moushkatel,5,1684538852,390715,0,06:30.715,390715,06:30.715
TAL S,3,1684421188,390725,1,06:30.725,390725,06:30.725
ShimiC,4,1684583561,390825,1,06:30.825,390825,06:30.825
serbansim,9,1684500745,391026,0,06:31.026,391026,06:31.026
miharonel,3,1684577444,391040,0,06:31.040,391040,06:31.040
Idan M,10,1684609660,391525,1,06:31.525,391525,06:31.525
serbansim,11,1684577399,391544,0,06:31.544,391544,06:31.544
refael,6,1684604348,391827,0,06:31.827,391827,06:31.827
Boris Fr,12,1684602551,391839,0,06:31.839,391839,06:31.839
leviarnon1,1,1684392894,391906,0,06:31.906,391906,06:31.906
SHAKED,2,1684353347,392105,1,06:32.105,392105,06:32.105
U.V,1,1684255720,392108,3,06:32.108,392108,06:32.108
ShimiC,2,1684526596,392210,0,06:32.210,392210,06:32.210
Dor Sapir,1,1684521348,392252,0,06:32.252,392252,06:32.252
refael,3,1684602379,392393,0,06:32.393,392393,06:32.393
SHAKED,4,1684354578,392443,3,06:32.443,392443,06:32.443
AryeMorZ,9,1684614427,392471,0,06:32.471,392471,06:32.471
