DriverName,FastestLap,TheoreticalBest,TotalDrivingTime,TotalLaps,OptimalS1,OptimalS2,OptimalS3,FastestLapAt
chachacha,01:07.239,01:07.046,2:51:00.571,118,00:15.373,00:28.318,00:23.355,103
Yuval Rosen,01:07.354,01:07.134,3:05:32.571,133,00:15.393,00:28.449,00:23.292,133
Shon Marantz,01:07.952,01:07.811,1:03:02.689,51,00:15.625,00:28.615,00:23.571,51
Daniel Lerman,01:08.012,01:07.676,2:12:28.976,86,00:15.634,00:28.548,00:23.494,80
Y.Cohen,01:08.029,01:07.926,8:10:57.031,325,00:15.523,00:28.795,00:23.608,325
e30misha,01:08.081,01:07.844,1:40:41.440,74,00:15.609,00:28.692,00:23.543,56
U.V,01:08.116,01:07.741,7:22:59.661,208,00:15.482,00:28.764,00:23.495,201
SHAKED,01:08.308,01:08.110,2:44:29.899,93,00:15.573,00:28.853,00:23.684,51
giladheskia,01:08.349,01:08.092,2:56:55.008,125,00:15.644,00:28.809,00:23.639,107
yarimalk23,01:08.501,01:08.269,2:02:00.426,65,00:15.692,00:28.894,00:23.683,41
A972K,01:08.519,01:08.235,8:39:34.352,275,00:15.686,00:29.015,00:23.534,248
Elad Levy,01:08.523,01:08.367,3:10:47.693,121,00:15.812,00:28.840,00:23.715,46
Ron22,01:08.826,01:08.735,2:16:59.479,78,00:15.838,00:29.142,00:23.755,69
ShimiC,01:09.010,01:08.673,4:05:06.166,165,00:15.749,00:29.164,00:23.760,129
lavie.aviv,01:09.102,01:08.626,2:05:04.556,74,00:15.872,00:28.994,00:23.760,72
BrAiT_Man,01:09.172,01:08.739,1:39:46.043,65,00:15.723,00:29.129,00:23.887,34
omri levy,01:09.261,01:09.225,0:21:05.994,17,00:15.791,00:29.448,00:23.986,17
Michael Simon,01:09.440,01:09.342,1:43:31.428,63,00:15.819,00:29.332,00:24.191,56
oren85,01:09.452,01:09.117,0:53:22.659,36,00:15.870,00:29.002,00:24.245,19
serbansim,01:09.475,01:08.803,2:38:25.325,119,00:15.677,00:29.191,00:23.935,94
OmriF,01:09.503,01:08.869,6:34:54.555,265,00:15.619,00:29.503,00:23.747,254
Ori Arish,01:09.547,01:09.396,0:24:04.769,13,00:16.067,00:29.322,00:24.007,12
MANNYU33,01:09.591,01:09.363,1:28:20.182,55,00:15.818,00:29.515,00:24.030,52
AryeMorZ,01:09.620,01:09.183,0:57:38.026,28,00:15.933,00:29.291,00:23.959,7
leviarnon1,01:09.776,01:09.620,0:48:20.394,27,00:15.934,00:29.358,00:24.328,27
Gilad Golan,01:09.911,01:09.629,0:27:33.373,15,00:15.929,00:29.543,00:24.157,8
Crazy,01:09.996,01:09.133,0:29:48.815,19,00:16.118,00:29.209,00:23.806,19
Idan M,01:10.034,01:09.957,0:35:15.134,23,00:16.070,00:29.430,00:24.457,16
Tal Veksler,01:10.227,01:09.810,2:58:44.705,121,00:16.005,00:29.497,00:24.308,7
oyway1,01:10.809,01:10.193,2:22:49.718,76,00:15.991,00:29.781,00:24.421,48
Yarin,01:11.002,01:10.504,0:47:54.082,30,00:16.352,00:29.798,00:24.354,30
Yudream,01:11.055,01:10.771,0:19:28.131,11,00:15.894,00:30.469,00:24.408,8
BulFas,01:11.571,01:11.324,0:29:48.146,22,00:16.442,00:29.970,00:24.912,21
SirSiriuSoWhy,01:11.594,01:10.750,0:13:57.794,7,00:16.089,00:30.280,00:24.381,7
Mors Dyce,01:12.001,01:11.709,0:25:33.947,13,00:16.521,00:30.087,00:25.101,13
Daniel Malka,01:12.268,01:11.496,0:32:34.125,19,00:16.502,00:30.024,00:24.970,12
Lahoh,01:12.273,01:11.888,0:13:49.602,10,00:16.187,00:30.793,00:24.908,7
DoronV,01:13.757,01:13.005,1:29:25.177,49,00:16.522,00:30.766,00:25.717,42
EladPeretz,01:14.293,01:13.479,0:09:38.868,6,00:16.720,00:31.001,00:25.758,2
Kiril,01:16.109,01:14.783,0:29:16.598,18,00:16.778,00:32.288,00:25.717,18
orenosadon,01:16.833,01:16.833,0:16:39.826,11,00:16.825,00:32.616,00:27.392,11
ElioR_Alkobi,01:18.486,01:17.296,0:19:26.743,10,00:16.855,00:32.918,00:27.523,6
GraFiks 좋은,01:19.474,01:18.929,0:16:39.408,8,00:17.356,00:33.008,00:28.565,8
SyNoXe,01:20.388,01:16.180,0:20:41.547,12,00,00:32.485,00:26.695,7
Yosi Y,01:28.180,01:20.746,0:10:37.725,6,00:18.142,00:35.339,00:27.265,3
Ariel,01:10.332,01:10.135,0:27:26.090,19,00:16.084,00:29.822,00:24.229,15
V.Boychouk,01:13.806,01:12.881,1:07:43.863,34,00:16.635,00:30.343,00:25.903,27
