DriverName,Type,count_star()
Farag.Eden,COLLISION_WITH_ENV,219
OmriF,COLLISION_WITH_ENV,148
Yuval Rosen,COLLISION_WITH_ENV,129
Amnon Etz,COLLISION_WITH_ENV,102
Dima Medvednik,COLLISION_WITH_ENV,100
yarin levi,COLLISION_WITH_ENV,81
Idan M,COLLISION_WITH_ENV,78
leviarnon1,COLLISION_WITH_ENV,61
AryeMorZ,COLLISION_WITH_ENV,45
Bakish,COLLISION_WITH_ENV,39
HaimRaeburn,COLLISION_WITH_ENV,37
DoronV,COLLISION_WITH_ENV,37
miharonel,COLLISION_WITH_ENV,37
johnny aberzel,COLLISION_WITH_ENV,37
A.C,COLLISION_WITH_ENV,34
Bamba,COLLISION_WITH_ENV,32
RickyRik,COLLISION_WITH_ENV,28
yarin levi,COLLISION_WITH_CAR,27
yarimalk23,COLLISION_WITH_ENV,26
Idan M,COLLISION_WITH_CAR,26
serbansim,COLLISION_WITH_ENV,25
E.vaturi,COLLISION_WITH_ENV,24
OneLeg,COLLISION_WITH_ENV,24
SirSiriuSoWhy,COLLISION_WITH_ENV,23
chachacha,COLLISION_WITH_ENV,23
Boris Fr,COLLISION_WITH_ENV,19
Farag.Eden,COLLISION_WITH_CAR,19
Jonathan Gutman,COLLISION_WITH_ENV,18
Landzer,COLLISION_WITH_ENV,18
miharonel,COLLISION_WITH_CAR,14
Ido,COLLISION_WITH_ENV,14
IMRACING R16,COLLISION_WITH_ENV,13
Tom Moushkatel,COLLISION_WITH_ENV,12
ITZYuval,COLLISION_WITH_ENV,11
U.V,COLLISION_WITH_ENV,10
Shimic,COLLISION_WITH_ENV,10
IMRACING R9,COLLISION_WITH_ENV,9
drdr3vil,COLLISION_WITH_ENV,9
E.vaturi,COLLISION_WITH_CAR,8
assaf_itz,COLLISION_WITH_ENV,8
Elad Levy,COLLISION_WITH_ENV,7
A.C,COLLISION_WITH_CAR,7
DoronV,COLLISION_WITH_CAR,6
OmriF,COLLISION_WITH_CAR,6
Yuval Rosen,COLLISION_WITH_CAR,6
JACOV RONDEL,COLLISION_WITH_ENV,6
oyway1,COLLISION_WITH_ENV,6
shaked,COLLISION_WITH_ENV,6
chachacha,COLLISION_WITH_CAR,6
Daniel Lerman,COLLISION_WITH_ENV,6
Rako,COLLISION_WITH_ENV,6
SirSiriuSoWhy,COLLISION_WITH_CAR,5
ShimiC,COLLISION_WITH_ENV,5
Hublot,COLLISION_WITH_ENV,5
YTS01,COLLISION_WITH_ENV,4
gizmos,COLLISION_WITH_ENV,4
Boris Fr,COLLISION_WITH_CAR,4
Dima Medvednik,COLLISION_WITH_CAR,4
giladheskia,COLLISION_WITH_ENV,4
yarimalk23,COLLISION_WITH_CAR,4
U.V,COLLISION_WITH_CAR,3
leviarnon1,COLLISION_WITH_CAR,3
oren85,COLLISION_WITH_ENV,3
Daniel Lerman,COLLISION_WITH_CAR,3
RickyRik,COLLISION_WITH_CAR,3
shil-shul,COLLISION_WITH_ENV,3
barakc972,COLLISION_WITH_ENV,3
Shimi,COLLISION_WITH_ENV,3
Michael Simon,COLLISION_WITH_ENV,3
EranRose,COLLISION_WITH_ENV,3
Amnon Etz,COLLISION_WITH_CAR,2
IMRACING R9,COLLISION_WITH_CAR,2
ahmad,COLLISION_WITH_ENV,2
Reem Gross,COLLISION_WITH_ENV,2
refael,COLLISION_WITH_ENV,2
OneLeg,COLLISION_WITH_CAR,2
Ido,COLLISION_WITH_CAR,2
Bakish,COLLISION_WITH_CAR,2
GasCan13,COLLISION_WITH_ENV,2
ElioR_Alkobi,COLLISION_WITH_ENV,2
avieinav,COLLISION_WITH_ENV,2
johnny aberzel,COLLISION_WITH_CAR,2
oyway1,COLLISION_WITH_CAR,1
ahmad,COLLISION_WITH_CAR,1
HaimRaeburn,COLLISION_WITH_CAR,1
ShimiC,COLLISION_WITH_CAR,1
Jonathan Gutman,COLLISION_WITH_CAR,1
SyNoXe,COLLISION_WITH_ENV,1
AryeMorZ,COLLISION_WITH_CAR,1
