DriverName,TotalDrivingTime,TotalLaps,InvalidLaps,FastestLap,FastestLapAt,TheoreticalBest,OptimalS1,OptimalS2,OptimalS3
Yuval Rosen,4:50:49.607,135,84,01:53.171,109.0,01:52.528,00:31.435,00:51.610,00:29.483
chachacha,3:28:48.081,91,39,01:52.685,64.0,01:52.246,00:31.202,00:51.520,00:29.524
GasCan13,0:56:57.296,20,9,01:53.141,20.0,01:53.121,00:31.235,00:52.160,00:29.726
AryeMorZ,3:27:39.352,63,46,01:53.298,49.0,01:53.105,00:31.227,00:52.150,00:29.728
yarin levi,5:39:45.948,128,92,01:55.869,86.0,01:55.248,00:31.503,00:53.127,00:30.618
Daniel Lerman,2:46:29.002,71,22,01:53.875,56.0,01:53.055,00:31.020,00:52.187,00:29.848
yarimalk23,2:17:34.405,60,44,01:55.163,46.0,01:54.433,00:31.637,00:52.516,00:30.280
Reem Gross,0:58:07.884,22,8,01:54.706,21.0,01:54.324,00:31.227,00:52.520,00:30.577
leviarnon1,3:51:47.776,108,63,01:54.906,108.0,01:53.778,00:31.185,00:52.816,00:29.777
OneLeg,3:24:43.825,88,41,01:54.943,84.0,01:54.011,00:31.527,00:52.717,00:29.767
assaf_itz,0:46:49.366,19,4,01:55.372,19.0,01:55.326,00:31.167,00:54.266,00:29.893
A.C,4:41:34.364,120,55,01:55.731,117.0,01:54.167,00:31.321,00:52.902,00:29.944
gizmos,4:12:54.848,87,39,01:55.834,65.0,01:54.079,00:31.266,00:52.208,00:30.605
Elad Levy,1:32:04.675,39,18,01:56.465,35.0,01:55.997,00:33.008,00:53.284,00:29.705
SirSiriuSoWhy,2:50:19.300,59,30,01:56.562,59.0,01:55.110,00:31.415,00:53.370,00:30.325
Ido,1:48:50.613,43,26,01:56.663,43.0,01:55.481,00:31.385,00:54.109,00:29.987
Shimic,0:27:20.098,9,7,01:57.386,5.0,01:56.918,00:32.206,00:53.680,00:31.032
