DriverName,LapNum,Timestamp,LapTime,Cuts,Valid,LapTimeMins,S1,S2,S3,S1Mins,S2Mins,S3Mins
Yuval Rosen,18,1685018574,111384,2,False,01:51.384,32525,53451,25408,00:32.525,00:53.451,00:25.408
Yuval Rosen,73,1685120740,111858,1,False,01:51.858,31937,52448,27473,00:31.937,00:52.448,00:27.473
Yuval Rosen,79,1685121648,112363,4,False,01:52.363,31692,53387,27284,00:31.692,00:53.387,00:27.284
Yuval Rosen,86,1685122517,112510,2,False,01:52.510,31820,52489,28201,00:31.820,00:52.489,00:28.201
chachacha,64,1685123831,112685,0,True,01:52.685,31276,51665,29744,00:31.276,00:51.665,00:29.744
chachacha,82,1685203613,112841,0,True,01:52.841,31270,51984,29587,00:31.270,00:51.984,00:29.587
chachacha,61,1685123475,112931,0,True,01:52.931,31319,51787,29825,00:31.319,00:51.787,00:29.825
chachacha,27,1685097678,112978,0,True,01:52.978,31519,51935,29524,00:31.519,00:51.935,00:29.524
GasCan13,20,1685129366,113141,0,True,01:53.141,31255,52160,29726,00:31.255,00:52.160,00:29.726
Yuval Rosen,109,1685196468,113171,0,True,01:53.171,31578,52110,29483,00:31.578,00:52.110,00:29.483
chachacha,53,1685122474,113201,0,True,01:53.201,31360,52223,29618,00:31.360,00:52.223,00:29.618
Yuval Rosen,76,1685121301,113234,8,False,01:53.234,34863,50651,27720,00:34.863,00:50.651,00:27.720
AryeMorZ,49,1685215238,113298,0,True,01:53.298,31227,52343,29728,00:31.227,00:52.343,00:29.728
chachacha,17,1685095697,113347,0,True,01:53.347,31649,51800,29898,00:31.649,00:51.800,00:29.898
chachacha,80,1685203371,113395,0,True,01:53.395,31302,51803,30290,00:31.302,00:51.803,00:30.290
GasCan13,17,1685129008,113399,1,False,01:53.399,31293,52375,29731,00:31.293,00:52.375,00:29.731
chachacha,25,1685097441,113402,0,True,01:53.402,31606,51885,29911,00:31.606,00:51.885,00:29.911
Yuval Rosen,87,1685122630,113446,0,True,01:53.446,31523,52317,29606,00:31.523,00:52.317,00:29.606
GasCan13,6,1685125030,113487,0,True,01:53.487,31235,52488,29764,00:31.235,00:52.488,00:29.764
Yuval Rosen,100,1685195339,113511,0,True,01:53.511,31435,52546,29530,00:31.435,00:52.546,00:29.530
chachacha,44,1685120726,113563,0,True,01:53.563,31582,51818,30163,00:31.582,00:51.818,00:30.163
chachacha,78,1685203136,113578,0,True,01:53.578,31512,52046,30020,00:31.512,00:52.046,00:30.020
Yuval Rosen,134,1685202826,113597,0,True,01:53.597,31851,51844,29902,00:31.851,00:51.844,00:29.902
chachacha,50,1685122112,113639,0,True,01:53.639,31308,51875,30456,00:31.308,00:51.875,00:30.456
Yuval Rosen,103,1685195697,113664,0,True,01:53.664,31696,52160,29808,00:31.696,00:52.160,00:29.808
Yuval Rosen,58,1685118191,113681,0,True,01:53.681,31457,52713,29511,00:31.457,00:52.713,00:29.511
chachacha,34,1685098793,113718,0,True,01:53.718,31449,51930,30339,00:31.449,00:51.930,00:30.339
Yuval Rosen,135,1685202939,113718,0,True,01:53.718,31745,51975,29998,00:31.745,00:51.975,00:29.998
Yuval Rosen,40,1685021859,113723,3,False,01:53.723,32103,53216,28404,00:32.103,00:53.216,00:28.404
yarin levi,59,1685189673,113743,4,False,01:53.743,32005,54338,27400,00:32.005,00:54.338,00:27.400
AryeMorZ,46,1685214874,113770,0,True,01:53.770,31407,52150,30213,00:31.407,00:52.150,00:30.213
Yuval Rosen,117,1685200720,113779,0,True,01:53.779,31767,51610,30402,00:31.767,00:51.610,00:30.402
chachacha,15,1685095462,113796,0,True,01:53.796,31590,52258,29948,00:31.590,00:52.258,00:29.948
chachacha,12,1685095079,113810,0,True,01:53.810,31460,52430,29920,00:31.460,00:52.430,00:29.920
AryeMorZ,40,1685213129,113834,0,True,01:53.834,31466,52340,30028,00:31.466,00:52.340,00:30.028
chachacha,41,1685120352,113863,0,True,01:53.863,31639,52241,29983,00:31.639,00:52.241,00:29.983
Daniel Lerman,56,1685120786,113875,0,True,01:53.875,31516,52511,29848,00:31.516,00:52.511,00:29.848
Daniel Lerman,32,1685116769,113879,0,True,01:53.879,31404,52519,29956,00:31.404,00:52.519,00:29.956
Daniel Lerman,52,1685120323,113933,0,True,01:53.933,31412,52633,29888,00:31.412,00:52.633,00:29.888
Yuval Rosen,125,1685201658,113952,0,True,01:53.952,31858,52006,30088,00:31.858,00:52.006,00:30.088
GasCan13,14,1685128647,113987,0,True,01:53.987,31282,52555,30150,00:31.282,00:52.555,00:30.150
AryeMorZ,44,1685214643,113990,0,True,01:53.990,31470,52402,30118,00:31.470,00:52.402,00:30.118
Daniel Lerman,34,1685117107,113991,0,True,01:53.991,31668,52380,29943,00:31.668,00:52.380,00:29.943
Yuval Rosen,85,1685122404,114016,0,True,01:54.016,31653,52600,29763,00:31.653,00:52.600,00:29.763
Yuval Rosen,63,1685119350,114046,0,True,01:54.046,31737,52794,29515,00:31.737,00:52.794,00:29.515
Yuval Rosen,72,1685120628,114055,1,False,01:54.055,31691,52524,29840,00:31.691,00:52.524,00:29.840
Yuval Rosen,92,1685194255,114079,0,True,01:54.079,31724,52583,29772,00:31.724,00:52.583,00:29.772
Daniel Lerman,38,1685117595,114158,0,True,01:54.158,31431,52533,30194,00:31.431,00:52.533,00:30.194
yarimalk23,54,1685197256,114160,1,False,01:54.160,31675,52182,30303,00:31.675,00:52.182,00:30.303
Daniel Lerman,54,1685120555,114160,0,True,01:54.160,31221,52506,30433,00:31.221,00:52.506,00:30.433
Yuval Rosen,53,1685117580,114165,1,False,01:54.165,31495,53266,29404,00:31.495,00:53.266,00:29.404
Yuval Rosen,43,1685022335,114173,0,True,01:54.173,31931,52624,29618,00:31.931,00:52.624,00:29.618
Yuval Rosen,94,1685194622,114193,0,True,01:54.193,31663,52592,29938,00:31.663,00:52.592,00:29.938
GasCan13,4,1685124761,114227,0,True,01:54.227,31544,52394,30289,00:31.544,00:52.394,00:30.289
Daniel Lerman,64,1685202809,114227,0,True,01:54.227,31283,52317,30627,00:31.283,00:52.317,00:30.627
Yuval Rosen,114,1685200368,114239,0,True,01:54.239,31876,52204,30159,00:31.876,00:52.204,00:30.159
chachacha,7,1685094456,114251,0,True,01:54.251,31542,52110,30599,00:31.542,00:52.110,00:30.599
Daniel Lerman,44,1685118545,114256,0,True,01:54.256,31020,52523,30713,00:31.020,00:52.523,00:30.713
Daniel Lerman,69,1685203418,114285,0,True,01:54.285,31471,52187,30627,00:31.471,00:52.187,00:30.627
Yuval Rosen,25,1685019875,114309,2,False,01:54.309,33318,53297,27694,00:33.318,00:53.297,00:27.694
Yuval Rosen,38,1685021628,114341,2,False,01:54.341,32140,52636,29565,00:32.140,00:52.636,00:29.565
Yuval Rosen,133,1685202712,114393,1,False,01:54.393,31822,52299,30272,00:31.822,00:52.299,00:30.272
chachacha,2,1685093792,114409,0,True,01:54.409,31537,52565,30307,00:31.537,00:52.565,00:30.307
Daniel Lerman,71,1685203652,114446,0,True,01:54.446,31403,52345,30698,00:31.403,00:52.345,00:30.698
Yuval Rosen,112,1685200053,114475,1,False,01:54.475,31590,52559,30326,00:31.590,00:52.559,00:30.326
Yuval Rosen,84,1685122290,114492,0,True,01:54.492,31935,52424,30133,00:31.935,00:52.424,00:30.133
Yuval Rosen,75,1685120979,114625,2,False,01:54.625,31767,52452,30406,00:31.767,00:52.452,00:30.406
Daniel Lerman,28,1685116279,114698,0,True,01:54.698,31579,52664,30455,00:31.579,00:52.664,00:30.455
Yuval Rosen,91,1685194141,114705,0,True,01:54.705,31832,52988,29885,00:31.832,00:52.988,00:29.885
Reem Gross,21,1685025233,114706,0,True,01:54.706,31461,52668,30577,00:31.461,00:52.668,00:30.577
Daniel Lerman,21,1685098891,114773,0,True,01:54.773,31272,52555,30946,00:31.272,00:52.555,00:30.946
Daniel Lerman,26,1685116041,114790,0,True,01:54.790,31445,52929,30416,00:31.445,00:52.929,00:30.416
Daniel Lerman,40,1685117837,114832,0,True,01:54.832,31645,52560,30627,00:31.645,00:52.560,00:30.627
Yuval Rosen,49,1685117080,114841,1,False,01:54.841,31497,53702,29642,00:31.497,00:53.702,00:29.642
Daniel Lerman,50,1685120089,114860,0,True,01:54.860,31525,52555,30780,00:31.525,00:52.555,00:30.780
Daniel Lerman,66,1685203041,114862,0,True,01:54.862,31337,52597,30928,00:31.337,00:52.597,00:30.928
Daniel Lerman,62,1685202567,114874,0,True,01:54.874,31610,52380,30884,00:31.610,00:52.380,00:30.884
leviarnon1,108,1685174153,114906,0,True,01:54.906,31255,53784,29867,00:31.255,00:53.784,00:29.867
Yuval Rosen,20,1685018812,114923,0,True,01:54.923,31917,53216,29790,00:31.917,00:53.216,00:29.790
OneLeg,84,1685211170,114943,0,True,01:54.943,31572,52717,30654,00:31.572,00:52.717,00:30.654
Yuval Rosen,132,1685202598,114947,1,False,01:54.947,31796,52084,31067,00:31.796,00:52.084,00:31.067
Daniel Lerman,60,1685202334,114993,0,True,01:54.993,31517,53001,30475,00:31.517,00:53.001,00:30.475
GasCan13,2,1685124500,115075,0,True,01:55.075,31406,52511,31158,00:31.406,00:52.511,00:31.158
Yuval Rosen,83,1685122176,115094,0,True,01:55.094,31817,53380,29897,00:31.817,00:53.380,00:29.897
Yuval Rosen,69,1685120271,115095,1,False,01:55.095,31998,52784,30313,00:31.998,00:52.784,00:30.313
Yuval Rosen,98,1685195094,115099,3,False,01:55.099,31692,52703,30704,00:31.692,00:52.703,00:30.704
yarimalk23,46,1685195680,115163,0,True,01:55.163,32035,52803,30325,00:32.035,00:52.803,00:30.325
Daniel Lerman,48,1685119852,115181,0,True,01:55.181,31211,52524,31446,00:31.211,00:52.524,00:31.446
Reem Gross,19,1685024988,115194,0,True,01:55.194,31620,52784,30790,00:31.620,00:52.784,00:30.790
Yuval Rosen,41,1685021974,115211,0,True,01:55.211,32182,52745,30284,00:32.182,00:52.745,00:30.284
Daniel Lerman,10,1685097462,115225,0,True,01:55.225,31593,52866,30766,00:31.593,00:52.866,00:30.766
yarimalk23,23,1684969098,115271,0,True,01:55.271,32035,52956,30280,00:32.035,00:52.956,00:30.280
yarimalk23,43,1685057676,115281,1,False,01:55.281,31936,52520,30825,00:31.936,00:52.520,00:30.825
AryeMorZ,37,1685212734,115300,0,True,01:55.300,31519,52569,31212,00:31.519,00:52.569,00:31.212
Daniel Lerman,58,1685202098,115341,0,True,01:55.341,31978,52951,30412,00:31.978,00:52.951,00:30.412
Yuval Rosen,66,1685119783,115347,0,True,01:55.347,31817,52745,30785,00:31.817,00:52.745,00:30.785
chachacha,90,1685205345,115350,0,True,01:55.350,31559,53492,30299,00:31.559,00:53.492,00:30.299
